"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","20,22","20,13","-0,10","20,00","20,22","20,27M"
"28/11/2019","20,10","20,15","-0,20","19,91","20,25","12,11M"
"27/11/2019","20,12","20,19","0,95","19,69","20,34","37,27M"
"26/11/2019","20,68","20,00","-3,57","20,00","20,68","42,34M"
"25/11/2019","20,88","20,74","-0,14","20,57","20,90","13,28M"
"22/11/2019","20,99","20,77","-0,29","20,71","20,99","11,75M"
"21/11/2019","20,60","20,83","1,61","20,37","20,83","12,63M"
"19/11/2019","20,68","20,50","0,10","20,25","20,70","13,08M"
"18/11/2019","20,90","20,48","-1,02","20,48","21,10","26,27M"
"14/11/2019","20,73","20,69","0,24","20,55","20,77","17,37M"
"13/11/2019","21,08","20,64","-2,55","20,41","21,09","28,48M"
"12/11/2019","21,50","21,18","-0,84","20,86","21,50","28,11M"
"11/11/2019","21,97","21,36","-1,78","21,30","21,97","27,73M"
"08/11/2019","21,87","21,75","-0,18","21,64","21,87","16,13M"
"07/11/2019","22,22","21,79","-1,57","21,79","22,32","22,56M"
"06/11/2019","22,02","22,13","0,72","21,87","22,37","15,93M"
"05/11/2019","22,12","21,97","-0,89","21,84","22,45","20,05M"
"04/11/2019","22,22","22,17","0,36","22,15","22,55","21,51M"
"01/11/2019","22,35","22,09","-0,18","21,87","22,71","26,82M"
"31/10/2019","22,80","22,13","-3,16","22,09","22,80","30,15M"
"30/10/2019","22,76","22,85","0,39","22,44","22,90","18,90M"
"29/10/2019","22,92","22,77","-0,22","22,32","22,96","20,52M"
"28/10/2019","22,53","22,81","1,32","22,37","22,96","17,49M"
"25/10/2019","22,59","22,52","-0,31","22,35","22,73","14,22M"
"24/10/2019","22,28","22,59","1,20","22,27","22,73","30,39M"
"23/10/2019","22,23","22,32","0,67","21,83","22,44","28,89M"
"22/10/2019","21,85","22,17","1,13","21,84","22,35","21,88M"
"21/10/2019","21,97","21,92","0,36","21,59","21,97","10,33M"
"18/10/2019","21,84","21,84","0,05","21,53","21,99","28,38M"
"17/10/2019","21,80","21,84","0,23","21,53","22,07","18,79M"
"16/10/2019","21,63","21,79","1,20","21,15","21,99","18,84M"
"15/10/2019","21,65","21,53","-0,55","21,40","21,77","13,89M"
"14/10/2019","21,57","21,65","0,37","21,38","21,81","20,57M"
"11/10/2019","21,28","21,57","2,40","21,15","21,64","26,15M"
"10/10/2019","21,08","21,06","-0,14","20,98","21,50","17,57M"
"09/10/2019","20,64","21,09","3,60","20,52","21,09","25,69M"
"08/10/2019","20,72","20,36","-1,11","20,29","20,87","34,24M"
"07/10/2019","21,33","20,59","-3,12","20,57","21,39","41,32M"
"04/10/2019","21,68","21,25","-1,42","21,14","21,68","33,15M"
"03/10/2019","21,56","21,56","-0,96","21,34","22,15","29,85M"
"02/10/2019","21,77","21,77","-1,70","21,61","22,01","16,86M"
"01/10/2019","22,14","22,14","-0,80","21,89","22,27","30,29M"
"30/09/2019","22,32","22,32","-0,40","22,18","22,52","17,51M"
"27/09/2019","22,41","22,41","0,62","22,07","22,61","17,84M"
"26/09/2019","22,27","22,27","0,22","22,08","22,49","21,23M"
"25/09/2019","22,62","22,22","-1,71","21,85","22,65","21,61M"
"24/09/2019","22,61","22,61","-3,22","22,55","23,44","31,29M"
"23/09/2019","23,36","23,36","-1,30","23,24","23,79","16,86M"
"20/09/2019","23,67","23,67","-1,40","23,36","23,98","51,99M"
"19/09/2019","24,00","24,00","2,75","22,84","24,11","89,51M"
