"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","12,57","12,56","-0,40","12,52","13,04","120,14M"
"28/11/2019","12,58","12,61","-0,39","12,54","12,85","59,62M"
"27/11/2019","12,84","12,66","-1,63","12,39","12,88","134,81M"
"26/11/2019","12,28","12,87","4,21","12,22","12,87","208,70M"
"25/11/2019","12,23","12,35","2,07","12,23","12,66","138,01M"
"22/11/2019","12,04","12,10","0,50","11,83","12,27","127,02M"
"21/11/2019","11,54","12,04","3,79","11,45","12,11","186,40M"
"19/11/2019","11,50","11,60","1,40","11,50","11,87","97,38M"
"18/11/2019","11,63","11,44","0,00","11,34","11,70","71,93M"
"14/11/2019","11,33","11,44","1,42","11,27","11,58","65,84M"
"13/11/2019","11,80","11,28","-4,73","11,23","11,91","139,26M"
"12/11/2019","12,17","11,84","-3,03","11,81","12,33","110,09M"
"11/11/2019","12,15","12,21","-0,73","12,06","12,30","59,96M"
"08/11/2019","12,45","12,30","-2,38","12,22","12,73","123,48M"
"07/11/2019","12,28","12,60","2,44","12,28","12,72","185,18M"
"06/11/2019","12,31","12,30","-0,08","12,08","12,43","119,25M"
"05/11/2019","12,18","12,31","1,74","11,90","12,35","108,10M"
"04/11/2019","12,04","12,10","1,43","12,02","12,42","120,91M"
"01/11/2019","11,94","11,93","1,10","11,81","12,04","88,09M"
"31/10/2019","11,80","11,80","0,00","11,73","12,02","139,87M"
"30/10/2019","11,97","11,80","-1,83","11,65","12,11","150,29M"
"29/10/2019","12,20","12,02","-1,56","11,93","12,38","130,75M"
"28/10/2019","12,15","12,21","0,74","11,94","12,28","96,15M"
"25/10/2019","12,55","12,12","-3,12","12,05","12,73","229,45M"
"24/10/2019","12,80","12,51","-6,85","12,37","13,09","394,45M"
"23/10/2019","13,60","13,43","-0,89","13,33","13,86","131,90M"
"22/10/2019","13,51","13,55","1,19","13,28","13,56","83,98M"
"21/10/2019","13,18","13,39","2,61","13,18","13,54","104,88M"
"18/10/2019","13,22","13,05","-1,81","13,05","13,54","177,12M"
"17/10/2019","13,28","13,29","0,61","13,11","13,37","93,54M"
"16/10/2019","13,31","13,21","-3,01","13,20","13,57","157,05M"
"15/10/2019","13,27","13,62","2,87","13,24","13,70","109,15M"
"14/10/2019","13,15","13,24","-0,60","13,14","13,42","72,04M"
"11/10/2019","13,25","13,32","1,76","13,23","13,72","140,79M"
"10/10/2019","12,41","13,09","5,31","12,40","13,18","127,24M"
"09/10/2019","12,55","12,43","0,00","12,28","12,63","99,31M"
"08/10/2019","12,89","12,43","-4,31","12,38","12,93","180,97M"
"07/10/2019","13,10","12,99","-2,33","12,85","13,28","86,46M"
"04/10/2019","13,07","13,30","1,68","13,07","13,45","77,38M"
"03/10/2019","13,08","13,08","2,43","12,61","13,16","110,36M"
"02/10/2019","12,77","12,77","-3,40","12,75","13,16","146,68M"
"01/10/2019","13,22","13,22","-0,08","13,08","13,40","144,58M"
"30/09/2019","13,23","13,23","-1,12","13,06","13,38","122,38M"
"27/09/2019","13,38","13,38","-1,98","13,30","13,83","81,89M"
"26/09/2019","13,87","13,65","-1,37","13,60","13,99","86,55M"
"25/09/2019","13,84","13,84","1,76","13,36","13,84","118,94M"
"24/09/2019","13,60","13,60","-4,02","13,47","14,27","184,14M"
"23/09/2019","14,17","14,17","1,26","13,94","14,19","98,61M"
"20/09/2019","13,99","13,99","0,63","13,89","14,09","129,83M"
"19/09/2019","13,90","13,90","-0,91","13,90","14,23","92,72M"
