"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","14,01","13,79","-1,71","13,79","14,12","5,83M"
"28/11/2019","13,80","14,03","1,01","13,76","14,04","3,00M"
"27/11/2019","14,12","13,89","-1,56","13,76","14,12","4,80M"
"26/11/2019","13,90","14,11","1,51","13,67","14,12","7,70M"
"25/11/2019","14,31","13,90","-3,27","13,90","14,36","7,08M"
"22/11/2019","14,10","14,37","1,77","13,86","14,37","10,06M"
"21/11/2019","13,80","14,12","2,69","13,70","14,12","9,46M"
"19/11/2019","13,54","13,75","1,48","13,47","13,85","12,20M"
"18/11/2019","13,35","13,55","2,26","13,11","13,55","9,82M"
"14/11/2019","13,08","13,25","1,30","13,04","13,50","8,45M"
"13/11/2019","12,86","13,08","1,40","12,83","13,37","14,19M"
"12/11/2019","13,60","12,90","-5,77","12,90","13,95","18,14M"
"11/11/2019","13,05","13,69","4,50","12,91","13,69","9,76M"
"08/11/2019","13,29","13,10","-2,17","13,10","13,50","10,32M"
"07/11/2019","13,15","13,39","2,21","13,12","13,53","6,50M"
"06/11/2019","13,22","13,10","-0,76","12,54","13,35","14,71M"
"05/11/2019","13,47","13,20","-1,12","13,20","13,59","8,33M"
"04/11/2019","13,14","13,35","1,52","13,08","13,46","8,21M"
"01/11/2019","13,16","13,15","-0,08","12,96","13,19","7,38M"
"31/10/2019","13,10","13,16","0,46","12,80","13,21","13,05M"
"30/10/2019","12,62","13,10","3,15","12,60","13,17","11,09M"
"29/10/2019","12,87","12,70","-1,40","12,58","12,88","8,05M"
"28/10/2019","12,44","12,88","3,45","12,41","12,88","9,56M"
"25/10/2019","12,32","12,45","1,97","12,25","12,53","9,19M"
"24/10/2019","12,43","12,21","-1,53","12,09","12,50","8,64M"
"23/10/2019","12,24","12,40","2,39","12,16","12,57","19,91M"
"22/10/2019","11,82","12,11","3,50","11,79","12,24","13,51M"
"21/10/2019","11,64","11,70","0,17","11,63","11,83","4,17M"
"18/10/2019","11,90","11,68","-1,43","11,56","12,04","6,15M"
"17/10/2019","11,55","11,85","2,86","11,49","11,90","8,11M"
"16/10/2019","11,49","11,52","0,26","11,32","11,71","6,85M"
"15/10/2019","11,31","11,49","1,14","11,20","11,57","6,80M"
"14/10/2019","11,57","11,36","-2,49","11,36","11,61","5,35M"
"11/10/2019","11,60","11,65","2,10","11,51","11,73","7,53M"
"10/10/2019","10,76","11,41","6,74","10,76","11,48","17,59M"
"09/10/2019","10,58","10,69","1,33","10,58","10,84","4,82M"
"08/10/2019","10,68","10,55","-1,40","10,50","10,77","8,91M"
"07/10/2019","11,11","10,70","-3,17","10,65","11,11","5,63M"
"04/10/2019","11,25","11,05","0,82","10,89","11,35","7,44M"
"03/10/2019","10,96","10,96","-0,09","10,68","11,04","6,28M"
"02/10/2019","10,97","10,97","-0,99","10,86","11,12","4,44M"
"01/10/2019","11,08","11,08","-0,09","11,05","11,29","4,04M"
"30/09/2019","11,09","11,09","-2,38","11,02","11,30","8,08M"
"27/09/2019","11,36","11,36","-1,22","11,18","11,74","9,67M"
"26/09/2019","11,50","11,50","-0,52","11,49","11,66","5,69M"
"25/09/2019","11,56","11,56","-1,20","11,46","11,71","6,19M"
"24/09/2019","11,70","11,70","-1,68","11,60","12,08","7,15M"
"23/09/2019","11,90","11,90","-1,73","11,89","12,18","5,24M"
"20/09/2019","12,11","12,11","1,34","11,87","12,35","11,19M"
"19/09/2019","11,95","11,95","-0,08","11,92","12,10","5,65M"
