"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","17,17","17,00","-0,99","16,81","17,24","175,65M"
"28/11/2019","17,39","17,17","-1,44","17,02","17,58","141,89M"
"27/11/2019","17,31","17,42","0,93","16,94","17,53","248,07M"
"26/11/2019","16,69","17,26","2,74","16,55","17,32","444,24M"
"25/11/2019","16,69","16,80","0,66","16,69","17,37","492,72M"
"22/11/2019","16,35","16,69","1,46","16,22","16,82","460,73M"
"21/11/2019","15,31","16,45","7,52","15,31","16,52","513,89M"
"19/11/2019","15,32","15,30","0,26","15,07","15,47","101,82M"
"18/11/2019","15,54","15,26","-1,17","15,05","15,64","176,10M"
"14/11/2019","15,30","15,44","0,78","15,07","15,54","173,52M"
"13/11/2019","15,14","15,32","0,20","15,13","15,41","155,43M"
"12/11/2019","15,19","15,29","0,34","15,06","15,40","192,16M"
"11/11/2019","15,04","15,24","0,20","14,81","15,31","138,27M"
"08/11/2019","15,08","15,21","-0,52","14,97","15,51","253,08M"
"07/11/2019","14,78","15,29","4,07","14,75","15,42","413,18M"
"06/11/2019","14,67","14,69","-0,14","14,36","14,87","206,46M"
"05/11/2019","14,50","14,71","1,03","14,44","14,83","265,71M"
"04/11/2019","13,96","14,56","4,96","13,94","14,60","462,10M"
"01/11/2019","13,53","13,87","3,57","13,48","13,94","197,25M"
"31/10/2019","13,33","13,39","0,37","13,25","13,65","196,42M"
"30/10/2019","12,96","13,34","2,06","12,81","13,46","202,47M"
"29/10/2019","13,14","13,07","-0,76","12,95","13,24","107,30M"
"28/10/2019","13,22","13,17","-0,23","13,12","13,42","76,83M"
"25/10/2019","13,07","13,20","1,85","13,05","13,32","137,58M"
"24/10/2019","13,20","12,96","-2,33","12,79","13,25","118,33M"
"23/10/2019","13,25","13,27","0,23","13,22","13,46","106,62M"
"22/10/2019","13,17","13,24","0,38","13,00","13,34","145,14M"
"21/10/2019","13,16","13,19","0,53","13,09","13,25","85,39M"
"18/10/2019","13,36","13,12","-1,79","13,03","13,44","160,68M"
"17/10/2019","13,31","13,36","0,37","13,21","13,48","136,72M"
"16/10/2019","13,35","13,31","-1,04","13,25","13,49","116,85M"
"15/10/2019","13,18","13,45","1,81","13,14","13,61","176,49M"
"14/10/2019","13,12","13,21","-0,30","12,98","13,29","136,74M"
"11/10/2019","13,06","13,25","2,39","13,01","13,36","139,49M"
"10/10/2019","12,42","12,95","3,67","12,42","13,04","179,39M"
"09/10/2019","12,59","12,49","-0,24","12,29","12,63","125,49M"
"08/10/2019","12,65","12,52","-1,80","12,28","12,73","225,41M"
"07/10/2019","12,95","12,75","-1,92","12,66","13,01","100,12M"
"04/10/2019","12,82","12,99","1,96","12,78","13,12","165,69M"
"03/10/2019","12,75","12,75","1,43","12,35","12,75","201,35M"
"02/10/2019","12,57","12,57","-3,74","12,43","12,90","180,29M"
"01/10/2019","13,05","13,05","-0,53","12,95","13,34","97,44M"
"30/09/2019","13,12","13,12","1,00","12,88","13,22","237,36M"
"27/09/2019","12,99","12,99","-0,53","12,90","13,20","90,50M"
"26/09/2019","13,15","13,06","-0,08","12,95","13,24","141,44M"
"25/09/2019","13,07","13,07","1,24","12,65","13,13","157,73M"
"24/09/2019","12,92","12,92","-1,97","12,78","13,24","120,62M"
"23/09/2019","13,17","13,17","-0,30","12,98","13,30","106,93M"
"20/09/2019","13,21","13,21","-1,12","13,05","13,43","217,97M"
"19/09/2019","13,36","13,36","-0,22","13,25","13,48","92,53M"
