"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","13,25","13,25","0,15","13,12","13,32","199,77M"
"28/11/2019","13,13","13,23","0,23","13,03","13,26","155,71M"
"27/11/2019","13,09","13,20","1,23","12,99","13,29","197,96M"
"26/11/2019","13,36","13,04","-2,39","12,98","13,37","492,30M"
"25/11/2019","13,70","13,36","-2,41","13,36","13,72","283,24M"
"22/11/2019","13,49","13,69","1,48","13,46","13,69","205,10M"
"21/11/2019","13,38","13,49","0,67","13,36","13,52","228,20M"
"19/11/2019","13,60","13,40","-1,32","13,33","13,65","234,35M"
"18/11/2019","13,71","13,58","-0,22","13,58","13,80","196,68M"
"14/11/2019","13,49","13,61","0,96","13,40","13,64","167,56M"
"13/11/2019","13,65","13,48","-1,67","13,37","13,68","299,23M"
"12/11/2019","13,76","13,71","-1,15","13,48","13,76","213,38M"
"11/11/2019","13,73","13,87","0,94","13,65","13,87","215,35M"
"08/11/2019","13,88","13,74","-1,29","13,63","13,92","233,64M"
"07/11/2019","14,00","13,92","-0,14","13,82","14,06","304,46M"
"06/11/2019","14,05","13,94","-0,78","13,90","14,23","265,86M"
"05/11/2019","14,15","14,05","1,22","13,99","14,23","291,53M"
"04/11/2019","13,78","13,88","1,02","13,71","13,91","167,92M"
"01/11/2019","13,73","13,74","0,36","13,56","13,83","191,82M"
"31/10/2019","13,85","13,69","-1,72","13,59","13,85","315,00M"
"30/10/2019","13,73","13,93","1,23","13,57","13,97","234,74M"
"29/10/2019","13,85","13,76","-0,93","13,75","13,88","195,83M"
"28/10/2019","13,71","13,89","0,87","13,69","13,94","128,30M"
"25/10/2019","13,65","13,77","1,03","13,65","13,83","160,51M"
"24/10/2019","13,63","13,63","-0,07","13,54","13,72","205,48M"
"23/10/2019","13,52","13,64","0,74","13,43","13,71","296,97M"
"22/10/2019","13,24","13,54","2,26","13,22","13,54","311,18M"
"21/10/2019","13,05","13,24","1,45","12,99","13,24","151,59M"
"18/10/2019","13,08","13,05","-0,61","13,00","13,13","153,31M"
"17/10/2019","13,11","13,13","-0,15","13,04","13,24","196,60M"
"16/10/2019","12,88","13,15","1,86","12,71","13,17","237,20M"
"15/10/2019","12,88","12,91","0,15","12,82","13,02","248,40M"
"14/10/2019","12,67","12,89","1,65","12,62","12,89","166,08M"
"11/10/2019","12,47","12,68","2,17","12,45","12,75","250,11M"
"10/10/2019","12,30","12,41","0,81","12,27","12,45","120,30M"
"09/10/2019","12,23","12,31","1,57","12,14","12,38","152,07M"
"08/10/2019","12,24","12,12","-0,33","12,09","12,36","226,69M"
"07/10/2019","12,49","12,16","-2,64","12,16","12,57","268,07M"
"04/10/2019","12,53","12,49","0,08","12,31","12,53","252,87M"
"03/10/2019","12,48","12,48","-1,19","12,41","12,69","252,79M"
"02/10/2019","12,63","12,63","-2,32","12,59","12,83","262,26M"
"01/10/2019","12,93","12,93","-1,75","12,93","13,19","268,02M"
"30/09/2019","13,16","13,16","-1,57","13,16","13,42","223,05M"
"27/09/2019","13,37","13,37","-0,22","13,24","13,42","130,90M"
"26/09/2019","13,40","13,40","2,13","13,06","13,40","229,16M"
"25/09/2019","13,12","13,12","0,61","12,93","13,15","190,84M"
"24/09/2019","13,04","13,04","-0,31","12,95","13,14","174,91M"
"23/09/2019","13,08","13,08","-1,06","13,00","13,18","147,75M"
"20/09/2019","13,22","13,22","1,22","13,00","13,22","422,64M"
"19/09/2019","13,06","13,06","-0,91","13,00","13,34","277,68M"
