"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","34,66","34,79","0,58","34,29","34,82","572,63M"
"28/11/2019","34,44","34,59","-0,29","34,01","34,69","545,36M"
"27/11/2019","34,69","34,69","0,58","34,25","34,92","669,58M"
"26/11/2019","34,99","34,49","-2,04","34,34","35,08","904,12M"
"25/11/2019","35,77","35,21","-1,43","35,00","35,88","536,60M"
"22/11/2019","35,25","35,71","0,68","35,20","35,81","585,46M"
"21/11/2019","35,12","35,47","1,02","35,02","35,48","919,06M"
"19/11/2019","35,48","35,12","-1,10","34,84","35,58","627,83M"
"18/11/2019","35,98","35,50","-0,45","35,46","36,18","477,15M"
"14/11/2019","35,48","35,66","0,65","35,15","35,77","497,60M"
"13/11/2019","35,65","35,43","-1,01","35,17","35,82","626,18M"
"12/11/2019","36,00","35,79","-1,70","35,41","36,27","702,22M"
"11/11/2019","36,18","36,41","0,44","35,88","36,78","636,19M"
"08/11/2019","36,34","36,25","-1,49","36,00","36,76","547,83M"
"07/11/2019","36,76","36,80","0,60","36,55","36,93","575,95M"
"06/11/2019","37,08","36,58","-1,35","36,55","37,34","701,30M"
"05/11/2019","37,62","37,08","1,73","36,78","37,97","1,75B"
"04/11/2019","36,43","36,45","0,33","36,22","36,73","366,40M"
"01/11/2019","36,64","36,33","0,36","35,89","36,89","688,43M"
"31/10/2019","36,27","36,20","-1,74","35,65","36,64","937,01M"
"30/10/2019","36,44","36,84","0,63","35,88","36,97","855,80M"
"29/10/2019","37,06","36,61","-1,77","36,54","37,20","606,40M"
"28/10/2019","36,62","37,27","1,36","36,50","37,50","776,57M"
"25/10/2019","36,52","36,77","0,66","36,31","37,10","693,13M"
"24/10/2019","36,43","36,53","0,47","36,10","36,80","993,57M"
"23/10/2019","35,56","36,36","1,42","35,48","36,72","1,25B"
"22/10/2019","34,74","35,85","3,10","34,64","35,86","1,26B"
"21/10/2019","34,24","34,77","1,64","33,97","34,84","563,19M"
"18/10/2019","34,59","34,22","-1,18","34,13","34,59","390,29M"
"17/10/2019","34,82","34,62","-0,60","34,30","35,10","588,54M"
"16/10/2019","34,45","34,83","1,43","33,81","34,95","606,59M"
"15/10/2019","34,46","34,35","-0,23","34,17","34,61","548,03M"
"14/10/2019","33,79","34,43","1,68","33,70","34,51","350,02M"
"11/10/2019","33,58","33,86","1,29","33,57","34,26","674,53M"
"10/10/2019","33,08","33,43","0,72","32,99","33,54","360,73M"
"09/10/2019","32,97","33,19","1,59","32,61","33,42","410,23M"
"08/10/2019","33,10","32,67","-0,43","32,54","33,25","484,72M"
"07/10/2019","33,27","32,81","-1,85","32,76","33,62","511,49M"
"04/10/2019","33,21","33,43","0,48","32,75","33,48","828,19M"
"03/10/2019","33,27","33,27","0,03","32,83","33,58","724,14M"
"02/10/2019","33,26","33,26","-2,75","33,10","33,92","791,19M"
"01/10/2019","34,20","34,20","-2,28","34,18","35,28","582,41M"
"30/09/2019","34,99","34,99","-1,41","34,99","35,75","473,68M"
"27/09/2019","35,49","35,49","-0,08","34,93","35,60","569,76M"
"26/09/2019","34,84","35,52","2,54","34,56","35,66","584,65M"
"25/09/2019","34,64","34,64","1,17","34,02","34,88","487,22M"
"24/09/2019","34,24","34,24","-1,04","34,08","34,85","359,24M"
"23/09/2019","34,60","34,60","-0,32","34,16","34,68","454,22M"
"20/09/2019","34,71","34,71","0,26","34,58","35,06","1,14B"
"19/09/2019","34,62","34,62","-1,67","34,48","35,79","625,99M"
