"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","3,42","3,43","0,29","3,39","3,48","1,75M"
"28/11/2019","3,47","3,42","-2,29","3,41","3,51","2,24M"
"27/11/2019","3,40","3,50","3,24","3,39","3,52","2,41M"
"26/11/2019","3,39","3,39","0,30","3,32","3,43","2,38M"
"25/11/2019","3,40","3,38","-1,17","3,36","3,43","2,40M"
"22/11/2019","3,45","3,42","-0,87","3,40","3,55","3,54M"
"21/11/2019","3,41","3,45","1,77","3,37","3,45","1,39M"
"19/11/2019","3,43","3,39","-0,29","3,37","3,44","1,18M"
"18/11/2019","3,42","3,40","-0,29","3,40","3,45","1,75M"
"14/11/2019","3,37","3,41","0,59","3,37","3,43","1,64M"
"13/11/2019","3,45","3,39","-2,02","3,38","3,45","1,65M"
"12/11/2019","3,43","3,46","0,87","3,40","3,50","2,01M"
"11/11/2019","3,38","3,43","1,48","3,32","3,50","1,52M"
"08/11/2019","3,35","3,38","-0,59","3,35","3,43","1,86M"
"07/11/2019","3,25","3,40","5,27","3,21","3,45","3,54M"
"06/11/2019","3,25","3,23","-0,31","3,20","3,27","1,43M"
"05/11/2019","3,25","3,24","-0,30","3,17","3,28","3,59M"
"04/11/2019","3,05","3,25","6,80","3,05","3,25","4,08M"
"01/11/2019","3,00","3,04","1,64","2,98","3,07","1,79M"
"31/10/2019","2,96","2,99","1,00","2,94","3,02","1,46M"
"30/10/2019","2,95","2,96","0,33","2,93","2,97","1,25M"
"29/10/2019","2,94","2,95","0,67","2,92","2,98","2,94M"
"28/10/2019","3,05","2,93","-1,32","2,92","3,07","3,47M"
"25/10/2019","3,04","2,97","-1,63","2,97","3,04","1,38M"
"24/10/2019","3,00","3,02","0,66","2,98","3,03","984,88K"
"23/10/2019","2,99","3,00","-0,33","2,97","3,04","1,30M"
"22/10/2019","2,95","3,01","2,00","2,95","3,01","1,27M"
"21/10/2019","2,97","2,95","-0,66","2,93","2,98","1,39M"
"18/10/2019","2,96","2,97","0,00","2,93","2,98","836,85K"
"17/10/2019","2,99","2,97","-0,33","2,95","3,00","945,98K"
"16/10/2019","2,94","2,98","2,02","2,91","3,00","2,10M"
"15/10/2019","2,91","2,92","0,34","2,89","2,94","2,14M"
"14/10/2019","2,90","2,91","0,34","2,89","2,93","1,59M"
"11/10/2019","2,80","2,90","3,51","2,80","2,90","2,61M"
"10/10/2019","2,79","2,81","0,71","2,78","2,85","3,22M"
"09/10/2019","2,78","2,79","0,71","2,76","2,80","3,85M"
"08/10/2019","2,81","2,77","-1,05","2,76","2,82","4,86M"
"07/10/2019","2,83","2,80","-1,05","2,79","2,84","2,28M"
"04/10/2019","2,84","2,83","0,70","2,78","2,84","2,32M"
"03/10/2019","2,81","2,81","-0,70","2,78","2,84","3,81M"
"02/10/2019","2,83","2,83","-1,38","2,82","2,89","3,50M"
"01/10/2019","2,87","2,87","-0,68","2,86","2,90","2,05M"
"30/09/2019","2,89","2,89","0,69","2,85","2,90","1,33M"
"27/09/2019","2,87","2,87","0,35","2,85","2,88","1,32M"
"26/09/2019","2,86","2,86","-1,03","2,86","2,89","1,65M"
"25/09/2019","2,89","2,89","0,69","2,83","2,89","2,53M"
"24/09/2019","2,87","2,87","-1,36","2,86","2,92","1,98M"
"23/09/2019","2,90","2,90","2,08","2,87","2,93","1,75M"
"20/09/2019","2,85","2,85","-1,70","2,84","2,90","3,49M"
"19/09/2019","2,90","2,90","-1,01","2,89","2,94","1,52M"
