"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","1,27","1,25","-2,34","1,25","1,28","2,02M"
"28/11/2019","1,30","1,28","-0,78","1,27","1,30","1,76M"
"27/11/2019","1,31","1,29","-0,77","1,29","1,32","1,07M"
"26/11/2019","1,31","1,30","-0,76","1,30","1,33","868,85K"
"25/11/2019","1,32","1,31","-0,76","1,31","1,33","1,05M"
"22/11/2019","1,31","1,32","1,54","1,30","1,32","1,43M"
"21/11/2019","1,32","1,30","-1,52","1,30","1,32","1,11M"
"19/11/2019","1,32","1,32","0,00","1,31","1,34","891,44K"
"18/11/2019","1,34","1,32","-1,49","1,31","1,36","2,03M"
"14/11/2019","1,35","1,34","0,75","1,33","1,35","990,75K"
"13/11/2019","1,35","1,33","-1,48","1,33","1,37","2,39M"
"12/11/2019","1,34","1,35","1,50","1,33","1,35","1,77M"
"11/11/2019","1,37","1,33","-1,48","1,33","1,37","1,28M"
"08/11/2019","1,36","1,35","0,00","1,34","1,40","2,83M"
"07/11/2019","1,33","1,35","1,50","1,32","1,36","2,09M"
"06/11/2019","1,31","1,33","1,53","1,31","1,37","2,81M"
"05/11/2019","1,33","1,31","-1,50","1,29","1,33","2,44M"
"04/11/2019","1,32","1,33","0,76","1,31","1,34","1,65M"
"01/11/2019","1,32","1,32","0,76","1,31","1,34","1,36M"
"31/10/2019","1,34","1,31","-2,24","1,30","1,36","2,11M"
"30/10/2019","1,35","1,34","0,00","1,32","1,35","1,38M"
"29/10/2019","1,33","1,34","0,00","1,32","1,38","2,47M"
"28/10/2019","1,38","1,34","-2,19","1,32","1,38","1,59M"
"25/10/2019","1,38","1,37","-0,72","1,36","1,39","1,58M"
"24/10/2019","1,40","1,38","-1,43","1,37","1,40","1,72M"
"23/10/2019","1,39","1,40","1,45","1,38","1,40","1,20M"
"22/10/2019","1,39","1,38","0,00","1,38","1,40","1,26M"
"21/10/2019","1,40","1,38","-1,43","1,38","1,41","1,40M"
"18/10/2019","1,40","1,40","0,00","1,39","1,43","1,53M"
"17/10/2019","1,39","1,40","0,72","1,37","1,43","3,12M"
"16/10/2019","1,41","1,39","-1,42","1,37","1,41","1,48M"
"15/10/2019","1,42","1,41","0,00","1,38","1,43","1,20M"
"14/10/2019","1,41","1,41","0,00","1,40","1,42","1,34M"
"11/10/2019","1,44","1,41","-0,70","1,40","1,45","2,35M"
"10/10/2019","1,45","1,42","-1,39","1,40","1,46","1,75M"
"09/10/2019","1,44","1,44","0,70","1,42","1,46","1,20M"
"08/10/2019","1,48","1,43","-2,05","1,41","1,48","2,01M"
"07/10/2019","1,50","1,46","2,82","1,44","1,50","3,55M"
"04/10/2019","1,48","1,42","-2,74","1,41","1,49","4,66M"
"03/10/2019","1,46","1,46","4,29","1,35","1,47","3,69M"
"02/10/2019","1,40","1,40","-1,41","1,37","1,42","2,54M"
"01/10/2019","1,42","1,42","-0,70","1,40","1,45","2,24M"
"30/09/2019","1,43","1,43","-2,05","1,43","1,47","1,61M"
"27/09/2019","1,46","1,46","0,00","1,44","1,49","2,66M"
"26/09/2019","1,46","1,46","-1,35","1,44","1,48","4,66M"
"25/09/2019","1,48","1,48","-4,52","1,43","1,54","5,02M"
"24/09/2019","1,55","1,55","-1,90","1,54","1,59","4,05M"
"23/09/2019","1,58","1,58","2,60","1,55","1,58","2,19M"
"20/09/2019","1,54","1,54","-3,14","1,54","1,60","3,92M"
"19/09/2019","1,59","1,59","1,27","1,57","1,61","4,22M"
