DATA,ABERTURA,FECHAMENTO,VARIACAO,MINIMO,MAXIMO,VOLUME
29/11/2019,29.49,29.15,-1.29,29.01,29.56,1.10B
28/11/2019,29.32,29.53,0.68,28.81,29.54,1.36B
27/11/2019,29.35,29.33,0.48,29.14,29.65,972.18M
26/11/2019,29.62,29.19,-1.82,29.10,29.73,1.59B
25/11/2019,29.92,29.73,-0.83,29.63,30.10,891.23M
22/11/2019,29.76,29.98,0.44,29.56,30.34,1.04B
21/11/2019,28.93,29.85,3.72,28.88,29.85,1.56B
19/11/2019,29.25,28.78,-1.03,28.73,29.49,977.73M
18/11/2019,29.70,29.08,-0.75,29.07,29.85,1.60B
14/11/2019,29.88,29.30,-2.01,29.27,30.10,1.32B
13/11/2019,29.95,29.90,-0.40,29.61,30.13,1.25B
12/11/2019,30.04,30.02,-0.86,30.01,30.61,1.26B
11/11/2019,29.68,30.28,1.43,29.62,30.28,919.85M
08/11/2019,30.28,29.85,-2.85,29.76,30.62,1.85B
07/11/2019,29.83,30.73,4.01,29.37,30.90,2.92B
06/11/2019,29.88,29.54,0.20,27.94,30.53,4.53B
05/11/2019,30.24,29.48,-2.34,29.41,30.43,2.76B
04/11/2019,30.72,30.19,-0.23,29.79,31.05,2.45B
01/11/2019,30.42,30.26,0.13,29.67,31.06,3.08B
31/10/2019,29.69,30.22,1.03,29.47,30.29,2.00B
30/10/2019,29.60,29.91,0.87,29.31,29.92,1.87B
29/10/2019,29.24,29.65,0.74,29.10,29.77,1.46B
28/10/2019,29.06,29.43,1.20,28.96,29.49,1.09B
25/10/2019,29.04,29.09,3.28,28.85,29.38,2.16B
24/10/2019,28.99,28.16,-2.18,28.07,29.09,1.71B
23/10/2019,28.37,28.79,1.33,28.29,28.92,1.31B
22/10/2019,27.64,28.41,2.88,27.61,28.52,1.80B
21/10/2019,27.59,27.61,0.62,27.45,27.65,1.19B
18/10/2019,27.73,27.45,-0.22,27.45,27.83,987.47M
17/10/2019,27.77,27.51,-0.97,27.44,27.84,857.12M
16/10/2019,27.40,27.77,1.20,27.21,27.81,863.04M
15/10/2019,27.16,27.45,1.06,27.16,27.72,828.40M
14/10/2019,26.89,27.16,0.18,26.79,27.18,558.12M
11/10/2019,26.78,27.11,1.94,26.78,27.21,995.61M
10/10/2019,26.44,26.59,0.83,26.39,26.73,815.66M
09/10/2019,26.20,26.37,1.92,26.00,26.56,916.98M
08/10/2019,26.02,25.87,-0.57,25.80,26.29,784.14M
07/10/2019,26.22,26.02,-1.28,25.95,26.45,682.37M
04/10/2019,26.70,26.36,-0.86,26.12,26.77,1.26B
03/10/2019,26.59,26.59,0.07,26.13,26.66,1.21B
02/10/2019,26.57,26.57,-2.87,26.46,27.11,1.36B
01/10/2019,27.36,27.36,-0.15,27.21,27.57,881.77M
30/09/2019,27.40,27.40,-0.40,27.25,27.49,629.22M
27/09/2019,27.51,27.51,-0.14,27.37,27.79,877.47M
26/09/2019,27.54,27.54,1.32,27.08,27.54,914.55M
25/09/2019,27.19,27.19,0.26,26.63,27.20,779.34M
24/09/2019,27.12,27.12,-0.76,27.00,27.39,991.20M
23/09/2019,27.33,27.33,1.78,26.77,27.34,882.99M
20/09/2019,26.85,26.85,-1.06,26.85,27.28,1.39B
19/09/2019,27.14,27.14,0.26,27.07,27.69,1.15B
