"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","7,19","7,14","-0,42","7,08","7,19","15,40M"
"28/11/2019","7,10","7,17","0,99","7,08","7,21","15,26M"
"27/11/2019","7,23","7,10","-1,93","7,06","7,23","19,07M"
"26/11/2019","7,24","7,24","0,00","7,03","7,24","14,04M"
"25/11/2019","7,33","7,24","-0,55","7,14","7,34","13,73M"
"22/11/2019","7,07","7,28","3,70","6,96","7,28","14,20M"
"21/11/2019","7,27","7,02","-3,31","6,95","7,29","36,38M"
"19/11/2019","7,30","7,26","-0,14","7,15","7,34","12,00M"
"18/11/2019","7,28","7,27","0,97","7,21","7,50","10,94M"
"14/11/2019","7,19","7,20","-0,55","7,13","7,25","14,33M"
"13/11/2019","7,15","7,24","-0,96","6,94","7,27","21,67M"
"12/11/2019","7,64","7,31","-4,32","7,31","7,65","22,60M"
"11/11/2019","7,55","7,64","1,19","7,37","7,64","12,55M"
"08/11/2019","7,55","7,55","-0,40","7,41","7,65","15,89M"
"07/11/2019","7,34","7,58","3,84","7,29","7,64","22,88M"
"06/11/2019","7,20","7,30","1,67","7,11","7,30","23,21M"
"05/11/2019","7,21","7,18","-0,28","7,07","7,28","13,18M"
"04/11/2019","7,09","7,20","2,86","7,09","7,30","17,27M"
"01/11/2019","6,89","7,00","2,34","6,80","7,05","18,61M"
"31/10/2019","6,88","6,84","-0,87","6,75","6,90","14,69M"
"30/10/2019","6,93","6,90","0,00","6,82","6,93","9,63M"
"29/10/2019","6,94","6,90","0,00","6,81","6,99","8,18M"
"28/10/2019","6,99","6,90","-0,72","6,86","7,01","11,45M"
"25/10/2019","7,12","6,95","-2,25","6,92","7,14","14,06M"
"24/10/2019","7,18","7,11","-0,14","7,05","7,19","8,22M"
"23/10/2019","7,16","7,12","-0,70","7,04","7,20","14,55M"
"22/10/2019","7,22","7,17","-0,42","7,10","7,27","15,61M"
"21/10/2019","7,26","7,20","-0,41","7,14","7,29","12,45M"
"18/10/2019","7,17","7,23","0,84","7,02","7,36","16,77M"
"17/10/2019","7,10","7,17","1,27","7,05","7,30","23,49M"
"16/10/2019","6,75","7,08","5,36","6,73","7,11","16,45M"
"15/10/2019","6,85","6,72","-1,75","6,72","7,11","25,50M"
"14/10/2019","6,49","6,84","6,05","6,48","6,89","20,43M"
"11/10/2019","6,30","6,45","2,38","6,26","6,52","23,91M"
"10/10/2019","6,37","6,30","-0,79","6,21","6,37","9,26M"
"09/10/2019","6,35","6,35","0,95","6,22","6,36","5,95M"
"08/10/2019","6,34","6,29","-0,63","6,28","6,38","8,26M"
"07/10/2019","6,42","6,33","-1,86","6,30","6,47","8,44M"
"04/10/2019","6,40","6,45","1,10","6,36","6,57","12,15M"
"03/10/2019","6,38","6,38","2,57","6,29","6,47","14,31M"
"02/10/2019","6,28","6,22","-1,27","6,16","6,32","6,48M"
"01/10/2019","6,30","6,30","-1,10","6,22","6,42","15,28M"
"30/09/2019","6,37","6,37","2,41","6,23","6,40","12,34M"
"27/09/2019","6,22","6,22","0,00","6,13","6,27","12,98M"
"26/09/2019","6,22","6,22","1,30","6,04","6,34","11,17M"
"25/09/2019","6,14","6,14","-2,69","6,14","6,27","20,44M"
"24/09/2019","6,31","6,31","-1,41","6,26","6,44","9,24M"
"23/09/2019","6,40","6,40","-1,54","6,32","6,50","12,87M"
"20/09/2019","6,50","6,50","0,78","6,36","6,51","9,30M"
"19/09/2019","6,45","6,45","0,31","6,37","6,54","15,87M"
