"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","12,50","12,65","1,20","12,50","12,77","13,03M"
"28/11/2019","12,47","12,50","0,24","12,41","12,51","5,66M"
"27/11/2019","12,45","12,47","0,65","12,39","12,52","13,69M"
"26/11/2019","12,63","12,39","-1,90","12,32","12,65","15,26M"
"25/11/2019","12,42","12,63","1,77","12,40","12,63","17,51M"
"22/11/2019","12,43","12,41","-0,08","12,28","12,45","14,54M"
"21/11/2019","12,26","12,42","1,39","12,24","12,42","10,63M"
"19/11/2019","12,23","12,25","0,25","12,19","12,28","8,50M"
"18/11/2019","12,19","12,22","0,83","12,13","12,28","10,96M"
"14/11/2019","12,01","12,12","0,92","11,98","12,19","17,07M"
"13/11/2019","11,96","12,01","0,42","11,89","12,03","9,36M"
"12/11/2019","12,05","11,96","-0,66","11,88","12,15","16,86M"
"11/11/2019","11,88","12,04","1,61","11,84","12,04","22,80M"
"08/11/2019","12,06","11,85","-1,30","11,84","12,09","25,21M"
"07/11/2019","11,93","12,01","1,32","11,93","12,07","17,24M"
"06/11/2019","11,92","11,85","1,85","11,82","12,04","37,00M"
"05/11/2019","11,68","11,63","0,17","11,59","11,70","15,59M"
"04/11/2019","11,57","11,62","0,68","11,57","11,76","15,08M"
"01/11/2019","11,47","11,54","0,77","11,46","11,61","13,69M"
"31/10/2019","11,46","11,45","-0,08","11,39","11,58","12,40M"
"30/10/2019","11,29","11,46","1,65","11,27","11,51","11,70M"
"29/10/2019","11,42","11,27","-1,20","11,27","11,45","13,25M"
"28/10/2019","11,52","11,41","-1,10","11,41","11,59","8,72M"
"25/10/2019","11,51","11,54","0,34","11,44","11,54","5,21M"
"24/10/2019","11,60","11,50","-0,76","11,44","11,60","6,61M"
"23/10/2019","11,64","11,59","-0,25","11,50","11,65","6,71M"
"22/10/2019","11,55","11,62","0,59","11,53","11,69","7,12M"
"21/10/2019","11,35","11,55","1,72","11,35","11,55","7,01M"
"18/10/2019","11,48","11,35","-1,19","11,35","11,51","15,36M"
"17/10/2019","11,33","11,49","1,73","11,32","11,49","6,62M"
"16/10/2019","11,44","11,29","-1,28","11,29","11,48","15,45M"
"15/10/2019","11,56","11,44","-0,85","11,40","11,68","10,02M"
"14/10/2019","11,71","11,54","-1,09","11,54","11,72","6,72M"
"11/10/2019","11,59","11,66","1,19","11,59","11,75","8,63M"
"10/10/2019","11,62","11,53","-0,67","11,53","11,62","5,19M"
"09/10/2019","11,69","11,61","0,34","11,44","11,69","8,20M"
"08/10/2019","11,78","11,57","-1,50","11,37","11,82","13,66M"
"07/10/2019","11,90","11,74","-0,99","11,72","11,90","6,25M"
"04/10/2019","11,97","11,86","-0,49","11,86","12,02","8,13M"
"03/10/2019","11,92","11,92","1,33","11,68","11,93","15,48M"
"02/10/2019","11,93","11,76","-2,04","11,74","11,96","7,54M"
"01/10/2019","12,01","12,01","0,66","11,85","12,05","11,52M"
"30/09/2019","11,93","11,93","1,58","11,74","11,96","9,52M"
"27/09/2019","11,74","11,74","-0,66","11,73","11,82","4,29M"
"26/09/2019","11,90","11,82","-0,08","11,77","11,90","5,23M"
"25/09/2019","11,83","11,83","-0,08","11,75","12,01","7,99M"
"24/09/2019","11,84","11,84","-0,33","11,79","11,92","5,07M"
"23/09/2019","11,88","11,88","0,50","11,78","11,92","7,95M"
"20/09/2019","11,82","11,82","-1,14","11,82","12,06","11,60M"
"19/09/2019","11,96","11,96","0,08","11,92","12,13","7,64M"
