"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","22,05","22,14","0,45","21,95","22,26","25,50M"
"28/11/2019","21,64","22,04","1,94","21,60","22,04","15,37M"
"27/11/2019","21,68","21,62","0,14","21,47","21,85","38,69M"
"26/11/2019","21,80","21,59","-0,92","21,41","21,80","26,25M"
"25/11/2019","21,83","21,79","-0,23","21,68","21,89","37,90M"
"22/11/2019","21,60","21,84","1,53","21,57","21,87","37,31M"
"21/11/2019","21,79","21,51","-0,88","21,40","21,86","49,49M"
"19/11/2019","22,09","21,70","-1,41","21,63","22,15","35,84M"
"18/11/2019","22,18","22,01","-0,41","22,01","22,46","35,03M"
"14/11/2019","22,23","22,10","-0,41","22,05","22,30","43,43M"
"13/11/2019","22,53","22,19","-1,81","22,16","22,59","34,73M"
"12/11/2019","22,52","22,60","0,49","22,29","22,78","54,11M"
"11/11/2019","22,69","22,49","-1,01","22,27","22,74","71,23M"
"08/11/2019","22,61","22,72","0,39","22,50","22,79","75,56M"
"07/11/2019","22,62","22,63","0,60","22,48","22,80","52,73M"
"06/11/2019","22,84","22,50","0,52","22,31","22,84","210,03M"
"05/11/2019","22,61","22,38","-0,90","22,26","22,67","30,65M"
"04/11/2019","22,86","22,58","-0,64","22,44","23,04","50,31M"
"01/11/2019","22,95","22,73","-0,47","22,64","23,06","32,35M"
"31/10/2019","22,89","22,83","-0,25","22,65","22,94","26,97M"
"30/10/2019","22,51","22,89","1,63","22,32","22,89","35,16M"
"29/10/2019","22,38","22,52","0,82","22,26","22,52","21,55M"
"28/10/2019","22,23","22,34","0,17","22,12","22,34","23,53M"
"25/10/2019","22,36","22,30","-0,09","22,09","22,46","25,05M"
"24/10/2019","22,56","22,32","-0,52","22,26","22,62","22,66M"
"23/10/2019","22,42","22,44","0,52","22,40","22,66","35,32M"
"22/10/2019","22,59","22,32","-1,07","22,30","22,76","42,75M"
"21/10/2019","22,58","22,56","-0,43","22,40","22,81","22,64M"
"18/10/2019","22,47","22,66","0,91","22,44","22,66","19,52M"
"17/10/2019","22,55","22,46","-0,47","22,28","22,64","30,00M"
"16/10/2019","22,67","22,56","-0,30","22,19","22,67","31,38M"
"15/10/2019","23,13","22,63","-1,89","22,45","23,14","27,18M"
"14/10/2019","22,81","23,07","1,67","22,69","23,08","14,57M"
"11/10/2019","22,62","22,69","0,47","22,52","22,92","21,36M"
"10/10/2019","22,61","22,58","0,13","22,39","22,71","41,51M"
"09/10/2019","22,77","22,55","0,04","22,48","22,81","23,53M"
"08/10/2019","22,60","22,54","0,26","22,39","22,78","33,14M"
"07/10/2019","23,63","22,49","-4,72","22,49","23,63","42,54M"
"04/10/2019","23,65","23,60","0,41","23,29","23,65","26,57M"
"03/10/2019","23,50","23,50","1,42","23,11","23,50","27,10M"
"02/10/2019","23,59","23,17","-1,85","23,17","23,59","15,28M"
"01/10/2019","23,93","23,61","-1,34","23,51","23,93","16,46M"
"30/09/2019","23,93","23,93","1,60","23,50","23,93","26,63M"
"27/09/2019","23,55","23,55","-0,12","23,40","23,63","14,46M"
"26/09/2019","23,58","23,58","0,08","23,45","23,75","15,00M"
"25/09/2019","23,56","23,56","-1,70","23,34","23,97","21,79M"
"24/09/2019","23,97","23,97","-0,56","23,86","24,21","15,93M"
"23/09/2019","24,10","24,10","-0,20","24,03","24,29","13,73M"
"20/09/2019","24,15","24,15","-1,35","24,07","24,62","27,02M"
"19/09/2019","24,48","24,48","0,24","24,38","24,79","25,39M"
