"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/11/2019","8,63","8,81","2,56","8,63","8,96","459,95M"
"28/11/2019","8,29","8,59","3,87","8,23","8,60","408,03M"
"27/11/2019","8,02","8,27","4,03","7,98","8,28","324,59M"
"26/11/2019","7,88","7,95","0,25","7,73","7,95","156,38M"
"25/11/2019","7,88","7,93","0,89","7,85","8,02","193,46M"
"22/11/2019","7,55","7,86","4,11","7,51","7,87","272,57M"
"21/11/2019","7,45","7,55","1,34","7,40","7,66","159,24M"
"19/11/2019","7,56","7,45","-1,46","7,37","7,68","141,42M"
"18/11/2019","7,58","7,56","-0,53","7,47","7,71","248,96M"
"14/11/2019","6,75","7,60","8,26","6,72","7,60","654,65M"
"13/11/2019","6,99","7,02","-0,99","6,44","7,10","441,00M"
"12/11/2019","7,28","7,09","-3,01","6,97","7,29","192,85M"
"11/11/2019","7,19","7,31","0,83","7,12","7,33","144,18M"
"08/11/2019","7,39","7,25","-2,29","7,16","7,39","174,63M"
"07/11/2019","7,47","7,42","-0,40","7,38","7,54","118,75M"
"06/11/2019","7,40","7,45","0,95","7,34","7,49","120,79M"
"05/11/2019","7,59","7,38","-2,51","7,37","7,61","206,29M"
"04/11/2019","7,70","7,57","-0,92","7,57","7,79","164,62M"
"01/11/2019","7,46","7,64","2,97","7,42","7,65","162,65M"
"31/10/2019","7,35","7,42","0,27","7,23","7,42","210,89M"
"30/10/2019","7,39","7,40","0,68","7,25","7,50","219,52M"
"29/10/2019","7,36","7,35","-0,14","7,31","7,51","257,41M"
"28/10/2019","7,49","7,36","-0,94","7,33","7,63","160,91M"
"25/10/2019","7,49","7,43","-0,80","7,40","7,64","123,62M"
"24/10/2019","7,70","7,49","-2,09","7,37","7,71","184,16M"
"23/10/2019","7,81","7,65","-2,05","7,65","7,86","122,06M"
"22/10/2019","7,81","7,81","0,00","7,77","7,88","130,82M"
"21/10/2019","7,84","7,81","-0,38","7,58","7,86","202,57M"
"18/10/2019","7,89","7,84","-0,76","7,74","7,96","108,00M"
"17/10/2019","7,84","7,90","1,02","7,83","8,06","213,81M"
"16/10/2019","7,75","7,82","0,39","7,65","7,85","144,45M"
"15/10/2019","7,77","7,79","0,13","7,75","7,86","122,21M"
"14/10/2019","7,71","7,78","0,39","7,68","7,87","120,91M"
"11/10/2019","7,60","7,75","2,92","7,59","7,86","184,12M"
"10/10/2019","7,59","7,53","-0,79","7,45","7,66","123,81M"
"09/10/2019","7,82","7,59","-1,68","7,49","7,86","218,86M"
"08/10/2019","7,83","7,72","-1,40","7,67","7,87","125,47M"
"07/10/2019","7,81","7,83","-0,76","7,75","7,95","119,45M"
"04/10/2019","7,86","7,89","1,15","7,75","7,94","133,58M"
"03/10/2019","7,80","7,80","4,42","7,45","7,80","200,65M"
"02/10/2019","7,47","7,47","-4,23","7,45","7,66","213,67M"
"01/10/2019","7,80","7,80","-1,52","7,72","8,03","168,06M"
"30/09/2019","7,92","7,92","0,64","7,82","7,95","112,52M"
"27/09/2019","7,87","7,87","0,25","7,80","7,98","138,57M"
"26/09/2019","7,71","7,85","2,75","7,66","7,88","196,20M"
"25/09/2019","7,64","7,64","2,28","7,33","7,68","153,46M"
"24/09/2019","7,47","7,47","-1,19","7,44","7,63","146,65M"
"23/09/2019","7,56","7,56","2,16","7,38","7,60","197,83M"
"20/09/2019","7,40","7,40","0,00","7,30","7,57","205,31M"
"19/09/2019","7,40","7,40","5,26","7,17","7,48","332,99M"
